CASE_LBL,R1_Hon,R2_Hon,R3_Hon,R4_Hon,R5_Hon,R6_Hon,R7_Hon,Goal,R1_Dis,R2_Dis,R3_Dis,R4_Dis,R5_Dis,R6_Dis,R7_Dis,Avg_HonLikelihood,Avg_DisLikelihood,Diff_Likelihood
Hon_AcknFault,4,4,5,4,4,5,5,1,4,2,1,1,1,1,1,4.42857142857143,1.57142857142857,2.85714285714286
Hon_RightThing,4,4,5,4,5,5,5,2,2,2,2,1,2,2,1,4.57142857142857,1.71428571428571,2.85714285714286
Hon_Consequences,2,1,4,2,3,2,3,3,3,2,3,2,3,2,3,2.42857142857143,2.57142857142857,-.142857142857143
Hon_GetWant,2,4,3,2,4,5,3,4,4,3,4,5,5,3,4,3.28571428571429,4,-.714285714285714
Hon_AvProb,4,4,4,3,4,5,3,5,3,4,2,5,5,4,3,3.85714285714286,3.71428571428571,.142857142857143
Hon_VoidCov,4,1,4,5,5,5,5,6,3,1,2,2,2,3,1,4.14285714285714,2,2.14285714285714
Hon_RecogProb,4,3,5,2,2,1,4,7,3,1,1,1,1,1,1,3,1.28571428571429,1.71428571428571
Hon_ExpFeelings,4,5,5,5,5,5,5,8,3,1,1,1,1,1,1,4.85714285714286,1.28571428571429,3.57142857142857
Hon_ShowHonesty,4,4,5,4,5,5,5,9,3,2,1,1,1,1,1,4.57142857142857,1.42857142857143,3.14285714285714
Hon_ShowFairness,3,3,4,4,4,4,3,10,2,2,2,2,2,1,3,3.57142857142857,2,1.57142857142857
Hon_ProtEmb,3,2,4,4,3,4,2,11,4,3,3,5,5,3,4,3.14285714285714,3.85714285714286,-.714285714285714
Hon_NeedToKnow,4,5,5,5,5,5,5,12,2,1,1,1,1,1,1,4.85714285714286,1.14285714285714,3.71428571428571
Hon_ProtFeelings,2,3,2,1,3,2,2,13,4,4,4,5,5,5,4,2.14285714285714,4.42857142857143,-2.28571428571429
Hon_BeKind,2,3,3,3,5,4,3,14,2,3,4,4,4,4,3,3.28571428571429,3.42857142857143,-.142857142857143
Hon_KeepFromEmb,3,2,4,4,3,5,3,15,4,3,2,4,5,1,4,3.42857142857143,3.28571428571429,.142857142857143
Hon_GoodEx,4,3,4,4,5,5,5,16,2,2,2,2,2,1,1,4.28571428571429,1.71428571428571,2.57142857142857
Hon_AvoidMis,4,4,4,5,5,4,4,17,2,2,2,2,1,1,1,4.28571428571429,1.57142857142857,2.71428571428571
Hon_FollowNorms,3,3,4,2,4,4,2,18,3,2,3,5,4,3,3,3.14285714285714,3.28571428571429,-.142857142857143
Hon_AvoidGuilt,2,4,4,4,5,5,4,19,4,2,2,2,2,3,2,4,2.42857142857143,1.57142857142857
Hon_FacilConvo,4,3,3,2,5,3,3,20,3,2,3,2,3,2,4,3.28571428571429,2.71428571428571,.571428571428571
Hon_FacilPlan,3,3,4,4,5,5,4,21,3,2,2,1,1,1,2,4,1.71428571428571,2.28571428571429
Hon_GainTrust,3,4,4,5,5,5,5,22,3,2,2,2,2,2,1,4.42857142857143,2,2.42857142857143
Hon_BeBestSelf,4,3,5,4,5,5,5,23,3,2,1,1,1,2,1,4.42857142857143,1.57142857142857,2.85714285714286
